Converting PZ into negative
Starting reading in a PZ file
Image is 851 x 315
Description is My Pelicans ! 
263336 runs
Run 926 has length 1
Run 927 has length 1
Run 928 has length 1
Run 929 has length 1
Run 930 has length 1
Run 931 has length 1
Run 932 has length 1
Run 933 has length 1
Run 934 has length 1
Run 935 has length 1
Run 936 has length 1
Run 937 has length 1
Run 938 has length 1
Run 939 has length 1
Run 940 has length 1
Run 941 has length 1
Run 942 has length 1
Run 943 has length 1
Run 944 has length 1
Run 945 has length 1
Run 946 has length 1
Run 947 has length 1
Run 948 has length 1
Run 949 has length 1
Run 950 has length 1
Run 951 has length 1
Run 952 has length 1
Run 953 has length 1
Run 954 has length 1
Run 955 has length 1
Run 956 has length 1
Run 957 has length 1
Run 958 has length 1
Run 959 has length 1
Run 960 has length 1
Run 961 has length 1
Run 962 has length 1
Run 963 has length 1
Run 964 has length 1
Run 965 has length 1
Run 966 has length 1
Run 967 has length 1
Run 968 has length 1
Run 969 has length 1
Run 970 has length 1
Run 971 has length 1
Run 972 has length 1
Run 973 has length 2
Run 974 has length 1
Run 975 has length 1
Run 976 has length 1
Run 977 has length 1
Run 978 has length 1
Run 979 has length 1
Run 980 has length 1
Run 981 has length 1
Run 982 has length 1
Run 983 has length 1
Run 984 has length 1
Run 985 has length 1
Run 986 has length 1
Run 987 has length 1
Run 988 has length 2
Run 989 has length 1
Run 990 has length 1
Run 991 has length 1
Run 992 has length 1
Run 993 has length 1
Run 994 has length 1
Run 995 has length 1
Run 996 has length 1
Run 997 has length 1
Run 998 has length 1
Run 999 has length 1
Run 1000 has length 1
Run 1001 has length 1
Run 1002 has length 1
Run 1003 has length 1
Run 1004 has length 1
Run 1005 has length 1
Run 1006 has length 1
Run 1007 has length 1
Run 1008 has length 1
Run 1009 has length 1
Run 1010 has length 1
Run 1011 has length 1
Run 1012 has length 1
Run 1013 has length 1
Run 1014 has length 1
Run 1015 has length 2
Run 1016 has length 1
Run 1017 has length 1
Run 1018 has length 1
Run 1019 has length 1
Run 1020 has length 1
Run 1021 has length 1
Run 1022 has length 1
Run 1023 has length 1
Run 1024 has length 1
Run 1025 has length 1
Run 1026 has length 1
Run 1027 has length 1
Run 1028 has length 1
Run 1029 has length 1
Run 1030 has length 1
Run 1031 has length 1
Run 1032 has length 1
Run 1033 has length 1
Run 1034 has length 1
Run 1035 has length 1
Run 1036 has length 1
Run 1037 has length 1
Run 1038 has length 1
Run 1039 has length 1
Run 1040 has length 1
Run 1041 has length 1
Run 1042 has length 1
Run 1043 has length 1
Run 1044 has length 1
Run 1045 has length 1
Run 1046 has length 1
Run 1047 has length 1
Run 1048 has length 1
Run 1049 has length 1
Run 1050 has length 1
Run 1051 has length 1
Run 1052 has length 1
Run 1053 has length 1
Run 1054 has length 1
Run 1055 has length 1
Run 1056 has length 1
Run 1057 has length 1
Run 1058 has length 1
Run 1059 has length 1
Run 1060 has length 1
Run 1061 has length 1
Run 1062 has length 1
Run 1063 has length 1
Run 1064 has length 1
Run 1065 has length 1
Run 1066 has length 1
Run 1067 has length 1
Run 1068 has length 1
Run 1069 has length 1
Run 1070 has length 1
Run 1071 has length 1
Run 1072 has length 1
Run 1073 has length 1
Run 1074 has length 1
Run 1075 has length 1
Run 1076 has length 1
Run 1077 has length 1
Run 1078 has length 1
Run 1079 has length 1
Run 1080 has length 1
Run 1081 has length 1
Run 1082 has length 1
Run 1083 has length 1
Run 1084 has length 1
Run 1085 has length 1
Run 1086 has length 1
Run 1087 has length 1
Run 1088 has length 1
Run 1089 has length 1
Run 1090 has length 1
Run 1091 has length 1
Run 1092 has length 1
Run 1093 has length 1
Run 1094 has length 1
Run 1095 has length 1
Run 1096 has length 1
Run 1097 has length 1
Run 1098 has length 1
Run 1099 has length 1
Run 1100 has length 1
Run 1101 has length 1
Run 1102 has length 2
Run 1103 has length 1
Run 1104 has length 1
Run 1105 has length 1
Run 1106 has length 1
Run 1107 has length 1
Run 1108 has length 1
Run 1109 has length 1
Run 1110 has length 1
Run 1111 has length 1
Run 1112 has length 2
Run 1113 has length 1
Run 1114 has length 1
Run 1115 has length 1
Run 1116 has length 1
Run 1117 has length 1
Run 1118 has length 1
Run 1119 has length 1
Run 1120 has length 1
Run 1121 has length 1
Run 1122 has length 1
Run 1123 has length 1
Run 1124 has length 1
Run 1125 has length 1
Run 1126 has length 1
Run 1127 has length 1
Run 1128 has length 1
Run 1129 has length 1
Run 1130 has length 1
Run 1131 has length 1
Run 1132 has length 1
Run 1133 has length 1
Run 1134 has length 1
Run 1135 has length 1
